Feature,Normalized.Dispersion
ENSG00000117148,NaN
ENSG00000179023,1.3867339920739439
ENSG00000009709,1.1158348531137774
ENSG00000159423,3.912218826128555
ENSG00000169991,1.5677448051785572
ENSG00000127481,0.17750412444624367
ENSG00000230424,1.3541063782202463
ENSG00000127463,1.4687058934523258
ENSG00000053372,-1.2741531475916856
ENSG00000162482,NaN
ENSG00000053371,-1.9020544552733294
ENSG00000040487,-1.5252171569073512
ENSG00000077549,-0.5404635793930758
ENSG00000173436,0.8652724965546434
ENSG00000158747,-0.9862140123435974
ENSG00000162542,0.17003904525711286
ENSG00000169914,1.4869375494255763
ENSG00000236963,NaN
ENSG00000162545,-0.80276315286563
ENSG00000090432,-0.5684374356791494
ENSG00000183114,-1.2173191198200917
ENSG00000158825,-0.21641403492673494
ENSG00000158828,-0.9109345998343151
ENSG00000117242,-0.8322322130509656
ENSG00000244038,-0.40910954059117915
ENSG00000117245,0.8208238738159065
ENSG00000189410,2.2259839854487304
ENSG00000127483,0.3257780485828634
ENSG00000075151,6.222824275957036
ENSG00000117298,0.31493721424940097
ENSG00000231105,NaN
ENSG00000142794,-0.2817724635811228
ENSG00000076864,-1.3727787739522952
ENSG00000090686,1.144866981926646
ENSG00000142798,2.5135846271874436
ENSG00000218510,-1.344255540771307
ENSG00000070831,-0.9535528420704288
ENSG00000230068,NaN
ENSG00000162552,-1.265463848278704
ENSG00000285873,NaN
ENSG00000184677,0.7641985417604433
ENSG00000133216,0.10024390608313741
ENSG00000227868,NaN
ENSG00000004487,-2.0272099376867727
ENSG00000240553,3.0957837837003823
ENSG00000169641,1.1345841853072014
ENSG00000179546,2.3725465092845717
ENSG00000261326,0.36749566272191464
ENSG00000125944,2.1440037204721425
ENSG00000125945,NaN
ENSG00000249087,-0.5280486696971584
ENSG00000204219,NaN
ENSG00000088280,0.14781625627428974
ENSG00000007968,0.438213475218375
ENSG00000235052,NaN
ENSG00000117318,-0.10518125785885915
ENSG00000285802,0.13961064419253416
ENSG00000197880,1.1386592994605378
ENSG00000142676,-1.0069986606076557
ENSG00000236810,0.16723741974159623
ENSG00000011007,-1.8153529293007866
ENSG00000057757,-1.9427071714348563
ENSG00000011009,0.9346343212632181
ENSG00000117308,-0.6792274859934578
ENSG00000117305,-0.3185726950703428
ENSG00000179163,1.1257023277888583
ENSG00000188822,NaN
ENSG00000189266,-1.486183691366026
ENSG00000188529,0.6823829857076724
ENSG00000142661,1.5227273756059736
ENSG00000142677,1.2617542780465838
ENSG00000185436,-0.8449188812327952
ENSG00000158055,NaN
ENSG00000001460,-1.1775719251244798
ENSG00000001461,-1.3003551013026537
ENSG00000286061,-0.058730166570573665
ENSG00000117602,-1.8827833695053802
ENSG00000264443,NaN
ENSG00000184454,1.0779858954160901
ENSG00000133226,-0.06808131714737883
ENSG00000169504,1.2478138335468165
ENSG00000020633,-0.29820253399466956
ENSG00000117614,-0.0007648522703957867
ENSG00000284602,NaN
ENSG00000284657,NaN
ENSG00000117616,0.39750456751752855
ENSG00000187010,NaN
ENSG00000183726,-1.072853272386718
ENSG00000188672,NaN
ENSG00000204178,0.48602245455900916
ENSG00000157978,-0.7239532097891278
ENSG00000225643,NaN
ENSG00000117643,NaN
ENSG00000233478,NaN
ENSG00000162430,-0.09818613948057157
ENSG00000228172,-1.2614510871568254
ENSG00000117640,0.40491801113641857
ENSG00000127423,-1.0724645282618266
ENSG00000182749,2.284753703859223
