Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000146530,VWDE,0.0017496954971845458,-1.1383699986211262,0.735735265543221,0.0031910882137811047,0.1413008613582729,1,0.009576914182995399,2.136225074561991,0.3819969453312434
ENSG00000226690,AC013470.2,0,-2.7233324993422823,0.39103764674588815,0.0023933161603358283,3.238162400610861,1,0,0.5512625738408357,1
ENSG00000006747,SCIN,0,-0.9159775772846785,1,0.0003988860267226381,1.4308074785532572,1,0,2.3586174958984394,1
ENSG00000122644,ARL4A,0.026595371557205094,0.02888086852285987,1,0.02672536379041675,0.04253688883719953,1,0.022984594039188958,-0.11086778740278103,1
ENSG00000229618,AC011287.1,0.0006998781988738183,-2.138369998621126,0.3569088294811537,0.0035899742405037425,0.9453806513830152,1,0.007661531346396319,2.095583090064645,0.43950644069273337
ENSG00000006468,ETV1,0.002449573696058364,-0.23790567217204028,1,0.0023933161603358283,-0.2212692180264355,1,0.0057461485097972395,1.5512625738408348,0.5835995078977241
ENSG00000187546,AGMO,0.006298903789864365,-0.574940659449612,0.8218145210617799,0.009573264641343313,0.48970116760682636,1,0.009576914182995399,0.5173152419174967,0.9671990858769286
ENSG00000214960,CRPPA,0.0034993909943690916,-0.5440087998977212,0.9150796544295687,0.004786632320671657,0.2243566010858311,1,0.007661531346396319,1.156983634728788,0.644101975075885
ENSG00000272361,AC005014.2,0,-0.9159775772846785,1,0,-0.5691925214467428,1,0.0019153828365990797,4.358617495898439,0.43950644069273337
ENSG00000106524,ANKMY2,0.009798294784233457,-0.012192892543981593,1,0.009972150668065952,0.043784355444009826,1,0.009576914182995399,0.18869249445612546,1
ENSG00000287799,AC005014.4,0.00034993909943690913,1.0840224227153215,0.9150796544295687,0,-0.5691925214467428,1,0,2.3586174958984394,1
ENSG00000136261,BZW2,0.043742387429613644,0.2799426326905783,0.9150796544295687,0.035500856378314787,-0.26716398399708563,1,0.038307656731981596,0.0027420690877386633,1
ENSG00000106537,TSPAN13,0.01224786848029182,0.20955330479918022,0.9889954643281899,0.010769922721511229,-0.11938960400722198,1,0.009576914182995399,-0.033699926880322195,1
ENSG00000106541,AGR2,0.2572052380861282,0.5016758702011765,0.5460521767784885,0.18588088845274933,-0.3813938812425266,1,0.1608921582743227,-0.46321274867504547,1
ENSG00000173467,AGR3,0.00034993909943690913,1.0840224227153215,0.9150796544295687,0,-0.5691925214467428,1,0,2.3586174958984394,1
ENSG00000106546,AHR,0.01574725947466091,-0.5216986381726318,0.774972077215762,0.019944301336131905,0.08086500749629888,1,0.036392273895382514,1.095583090064645,0.43892365120049603
ENSG00000237773,AC073332.1,0.002099634596621455,0.3064148440517691,1,0.0019944301336131906,0.20841505721680953,1,0,-0.2263450048227167,1
ENSG00000236039,AC019117.1,0.00034993909943690913,-0.9159775772846785,0.9886457438809212,0.0011966580801679142,1.4308074785532572,1,0,1.0366894010110759,1
ENSG00000071189,SNX13,0.005948964690427456,-1.5534074978999701,0.06793712393910505,0.017949871202518713,1.1470145125526656,1,0.019153828365990798,0.840769191035819,0.6115968000332975
ENSG00000048052,HDAC9,0,-1.5009400780058346,0.979033755498156,0.0003988860267226381,0.4308074785532572,1,0.0019153828365990797,3.3586174958984394,0.5642729559210576
ENSG00000122691,TWIST1,0.0006998781988738183,-0.9159775772846785,0.9265548856652337,0.0011966580801679142,0.10887938366589545,1,0.0038307656731981594,2.3586174958984385,0.5542317865322632
ENSG00000236536,AC003986.3,0,-0.9159775772846785,1,0,-0.5691925214467428,1,0.0019153828365990797,4.358617495898439,0.43950644069273337
ENSG00000105849,TWISTNB,0.022396102363962184,0.3515027335803076,0.9150796544295687,0.019944301336131905,0.01576997927441326,1,0.0057461485097972395,-1.4868725550459372,0.46835925565630004
ENSG00000243004,AC005062.1,0.00034993909943690913,0.08402242271532145,1,0.0003988860267226381,0.4308074785532572,1,0,1.7736549951772833,1
ENSG00000183742,MACC1,0,-0.9159775772846785,1,0.0003988860267226381,1.4308074785532572,1,0,2.3586174958984394,1
ENSG00000233834,AC005083.1,0.00034993909943690913,1.0840224227153215,0.9150796544295687,0,-0.5691925214467428,1,0,2.3586174958984394,1
ENSG00000271133,AC004130.2,0.00034993909943690913,1.0840224227153215,0.9150796544295687,0,-0.5691925214467428,1,0,2.3586174958984394,1
ENSG00000105855,ITGB8,0.0013997563977476365,0.4059505176026832,1,0.0011966580801679142,0.10887938366589545,1,0,0.3586174958984394,1
ENSG00000105866,SP4,0.0031494518949321823,-0.6815123236476559,0.8976898159559198,0.003988860267226381,-0.10976090280944462,1,0.011492297019594479,1.8440443230686796,0.388827698525973
ENSG00000105877,DNAH11,0.0006998781988738183,-0.6529431714508842,1,0.0007977720534452762,-0.3061581156129485,1,0.0038307656731981594,2.621651901732231,0.47131034272232636
ENSG00000164649,CDCA7L,0.00804859928704891,-0.23790567217204117,1,0.01037103669478859,0.4308074785532572,1,0.0057461485097972395,-0.28523869387628675,1
ENSG00000136237,RAPGEF5,0,-1.5009400780058346,0.9150796544295687,0.0007977720534452762,2.0157699792744133,1,0,1.7736549951772833,1
ENSG00000105889,STEAP1B,0.0010498172983107274,0.4990599219941654,1,0.0007977720534452762,0.01576997927441326,1,0,0.7736549951772833,1
ENSG00000136244,IL6,0.00034993909943690913,-0.9159775772846785,1,0.0007977720534452762,0.4308074785532572,1,0.0019153828365990797,2.3586174958984394,0.7126901987890008
ENSG00000196683,TOMM7,0.1571226556471722,0.5803910001674888,0.44893075734980237,0.11926692199006879,-0.21381794346623817,1,0.036392273895382514,-1.86827631767295,0.2164625926603092
ENSG00000286703,AC005682.2,0,-0.9159775772846785,1,0.0003988860267226381,1.4308074785532572,1,0,2.3586174958984394,1
ENSG00000228649,SNHG26,0.0013997563977476365,-1.9159775772846794,0.19159291118175448,0.005983290400839571,1.260882477110945,1,0.007661531346396319,1.3586174958984376,0.5642729559210576
ENSG00000122591,FAM126A,0.006298903789864365,-0.8775034294700426,0.5525129393878833,0.011966580801679142,0.7411475991654077,1,0.011492297019594479,0.5512625738408348,1
ENSG00000230658,KLHL7-DT,0.00034993909943690913,-0.5009400780058346,1,0.0003988860267226381,-0.1541550221678989,1,0.0019153828365990797,2.7736549951772833,0.6507761263406648
ENSG00000122550,KLHL7,0.007348721088175092,-0.8828107133494791,0.47453223060438926,0.01435989696201497,0.8329059221246027,1,0.011492297019594479,0.30799142282847036,1
ENSG00000136243,NUP42,0.01609719857409782,-0.005244915381766191,1,0.014758782988737609,-0.20390805736499829,1,0.022984594039188958,0.6667397912607704,0.7241506433194623
ENSG00000285926,AC005082.2,0.00034993909943690913,1.0840224227153215,0.9150796544295687,0,-0.5691925214467428,1,0,2.3586174958984394,1
ENSG00000136235,GPNMB,0.00034993909943690913,0.08402242271532145,1,0.0003988860267226381,0.4308074785532572,1,0,1.7736549951772833,1
ENSG00000156928,MALSU1,0.04794165662285655,0.5778370353782813,0.5525129393878833,0.035500856378314787,-0.26716398399708563,1,0.015323062692792638,-1.2980059899501644,0.45339394282006584
ENSG00000136231,IGF2BP3,0.04024299643524455,-1.0179985142251873,0.0990140481354091,0.06980505467646166,0.3279966729694821,1,0.13982294707173282,1.3831955186191047,0.16385663375647444
ENSG00000164548,TRA2A,0.02029646776734073,-0.5879233796004755,0.6122320280873484,0.028320907897307304,0.26088247711094503,1,0.04213842240517975,0.8598116389269972,0.4719111556285958
ENSG00000169193,CCDC126,0.002449573696058364,-1.0034404185350176,0.6382966127807186,0.005983290400839571,1.260882477110945,1,0.0019153828365990797,-0.16494446015857367,1
ENSG00000188732,FAM221A,0.00034993909943690913,0.08402242271532145,1,0,-1.154155022167899,1,0.0019153828365990797,3.3586174958984394,0.5642729559210576
ENSG00000196335,STK31,0.0006998781988738183,-0.6529431714508842,1,0.0011966580801679142,0.4308074785532572,1,0.0019153828365990797,1.7736549951772833,0.8776766297109018
ENSG00000105926,MPP6,0.023795858761709823,-0.6778178400899151,0.4767542058558658,0.036298628431760065,0.39978058293263263,1,0.047884570914977,0.7371291191521685,0.5598468633397641
ENSG00000105928,GSDME,0.00419926919324291,-1.0228927812011905,0.5998562256952564,0.009174378614620676,0.9283071380240742,1,0.007661531346396319,0.510620589343489,1
ENSG00000287093,AC003093.1,0.00034993909943690913,-1.5009400780058346,0.7847879719569609,0.0019944301336131906,2.0157699792744133,1,0,0.5512625738408357,1
ENSG00000070882,OSBPL3,0.004549208292679819,-1.5009400780058346,0.17194539802721767,0.012764352855124419,0.9516396418546984,1,0.01723844552939172,1.156983634728788,0.5164112258963811
ENSG00000172115,CYCS,0.1490740563601233,0.6572077556601239,0.35225783601841526,0.10650256913494437,-0.3040032309092746,1,0.036392273895382514,-1.75824626179246,0.24387061203670912
ENSG00000153790,C7orf31,0.0010498172983107274,-0.7233324993422823,0.9294765109233002,0.0023933161603358283,1.238162400610861,1,0,0.03668940101107587,1
ENSG00000223561,AC005165.1,0,-0.9159775772846785,1,0.0003988860267226381,1.4308074785532572,1,0,2.3586174958984394,1
ENSG00000050344,NFE2L3,0.004899147392116728,-0.5940494823973159,0.9011974516725738,0.006781062454284848,0.20841505721680953,1,0.011492297019594479,1.1659724179560431,0.6204746923338881
ENSG00000122566,HNRNPA2B1,0.41537771103161114,0.1716370706728969,0.9475854273521244,0.39649271056230223,0.03290822376251401,1,0.2355920889016868,-0.7786215800382936,0.6887914603523279
ENSG00000122565,CBX3,0.12247868480291821,0.47865371133232815,0.6122320280873484,0.09373821627981994,-0.2639783001206504,1,0.059376867934571476,-0.8361393585238095,0.6716404448139056
ENSG00000086300,SNX10,0.006998781988738183,0.8913773447729252,0.6775675903880445,0.0031910882137811047,-0.9842300207255859,1,0.0057461485097972395,0.5006365007708657,1
ENSG00000225792,AC004540.2,0.00034993909943690913,1.0840224227153215,0.9150796544295687,0,-0.5691925214467428,1,0,2.3586174958984394,1
ENSG00000214870,AC004540.1,0.00034993909943690913,0.08402242271532145,1,0.0003988860267226381,0.4308074785532572,1,0,1.7736549951772833,1
ENSG00000286507,AC004947.3,0.00034993909943690913,1.0840224227153215,0.9150796544295687,0,-0.5691925214467428,1,0,2.3586174958984394,1
ENSG00000005020,SKAP2,0.02064640686677764,-0.8670679768037317,0.27926004410722427,0.03829305856537325,0.7269395725632819,1,0.036392273895382514,0.3951433719235524,0.9041755825111076
ENSG00000105991,HOXA1,0.0013997563977476365,2.405950517602683,0.47666769584514246,0,-1.8911206163341046,1,0,1.0366894010110759,1
ENSG00000233429,HOTAIRM1,0.005599025590990546,-0.22083215881309926,1,0.007578834507730123,0.5828105719983068,1,0.0019153828365990797,-0.8113075055438728,0.9034092584009531
ENSG00000105996,HOXA2,0,-0.9159775772846785,1,0.0003988860267226381,1.4308074785532572,1,0,2.3586174958984394,1
ENSG00000105997,HOXA3,0.007348721088175092,0.3735290399103066,0.9150796544295687,0.005983290400839571,-0.154155022167898,1,0.0038307656731981594,-0.26587336900935554,1
ENSG00000253552,HOXA-AS2,0.0034993909943690916,0.7360991192950141,0.9150796544295687,0.0019944301336131906,-0.5691925214467428,1,0.0019153828365990797,0.3586174958984394,1
ENSG00000197576,HOXA4,0.00034993909943690913,1.0840224227153215,0.9150796544295687,0,-0.5691925214467428,1,0,2.3586174958984394,1
ENSG00000254369,HOXA-AS3,0.00034993909943690913,0.08402242271532145,1,0.0003988860267226381,0.4308074785532572,1,0,1.7736549951772833,1
ENSG00000106004,HOXA5,0.0013997563977476365,0.08402242271532145,1,0.0015955441068905524,0.4308074785532572,1,0,0.18869249445612724,1
ENSG00000106006,HOXA6,0.00034993909943690913,0.08402242271532145,1,0,-1.154155022167899,1,0.0019153828365990797,3.3586174958984394,0.5642729559210576
ENSG00000122592,HOXA7,0.002449573696058364,-0.37540919592197497,1,0.003988860267226381,0.8902390971905545,1,0,-0.8113075055438728,0.8859774949708016
ENSG00000078399,HOXA9,0.00034993909943690913,1.0840224227153215,0.9150796544295687,0,-0.5691925214467428,1,0,2.3586174958984394,1
ENSG00000253187,HOXA10-AS,0.00034993909943690913,0.08402242271532145,1,0.0003988860267226381,0.4308074785532572,1,0,1.7736549951772833,1
ENSG00000253293,HOXA10,0.005948964690427456,0.3470568285491149,0.9910493017159154,0.005185518347394295,-0.009765112832724299,1,0.0019153828365990797,-0.5955788144884364,1
ENSG00000005073,HOXA11,0,-0.9159775772846785,1,0.0003988860267226381,1.4308074785532572,1,0,2.3586174958984394,1
ENSG00000240990,HOXA11-AS,0.00034993909943690913,1.0840224227153215,0.9150796544295687,0,-0.5691925214467428,1,0,2.3586174958984394,1
ENSG00000106031,HOXA13,0.002099634596621455,1.306414844051769,0.7356619421726015,0.0007977720534452762,-0.7915849427831905,1,0,0.18869249445612724,1
ENSG00000106049,HIBADH,0.02869500615382655,-0.15564799005296237,1,0.027922021870584665,-0.20080511546672053,1,0.051715336588175155,0.908584575263391,0.43950644069273337
ENSG00000286478,AC007130.1,0.0006998781988738183,-1.1383699986211262,0.9032693948776979,0.0015955441068905524,0.4308074785532572,1,0.0038307656731981594,2.136225074561991,0.5642729559210576
ENSG00000229893,AC005091.1,0,-0.9159775772846785,1,0,-0.5691925214467428,1,0.0019153828365990797,4.358617495898439,0.43950644069273337
ENSG00000106052,TAX1BP1,0.05634019500934237,-0.48901691063001573,0.6270749123023271,0.08017609137125026,0.43796727012612324,1,0.07469993062736412,0.17671985279005042,1
ENSG00000153814,JAZF1,0.00839853838648582,-0.763974483839629,0.5748706574300503,0.011966580801679142,0.09960157007788428,1,0.02681535971238712,1.4841483779822973,0.27921963282382123
ENSG00000146592,CREB5,0.0010498172983107274,1.0840224227153215,0.9150796544295687,0.0003988860267226381,-0.5691925214467428,1,0,1.0366894010110759,1
ENSG00000106066,CPVL,0.0006998781988738183,0.08402242271532145,1,0.0007977720534452762,0.4308074785532572,1,0,1.0366894010110759,1
ENSG00000106069,CHN2,0,-0.9159775772846785,1,0,-0.5691925214467428,1,0.0019153828365990797,4.358617495898439,0.43950644069273337
ENSG00000235669,AC004593.1,0,-0.9159775772846785,1,0.0003988860267226381,1.4308074785532572,1,0,2.3586174958984394,1
ENSG00000223813,AC007255.1,0.0006998781988738183,-0.33101507656352247,1,0.0003988860267226381,-0.8911206163341046,1,0.0038307656731981594,2.9435799966195946,0.43950644069273337
ENSG00000176532,PRR15,0.002799512795495273,1.2539474241576336,0.6825618961859616,0.0011966580801679142,-0.739117522889055,1,0,-0.2263450048227167,1
ENSG00000122574,WIPF3,0.0013997563977476365,0.8209880168815271,0.9150796544295687,0.0007977720534452762,-0.3061581156129485,1,0,0.5512625738408357,1
ENSG00000136193,SCRN1,0.011198051181981092,-0.5154396477009495,0.7918349064624621,0.015556555042182885,0.3264708187385219,1,0.019153828365990798,0.6481241130934237,0.8144654967525202
ENSG00000227014,AC007285.1,0,-1.9159775772846785,0.8001144355201989,0.0011966580801679142,2.430807478553257,1,0,1.3586174958984394,1
ENSG00000106080,FKBP14,0.005948964690427456,-1.0314547947046142,0.3881116896782085,0.013163238881847056,0.9947083637465841,1,0.009576914182995399,0.2711546546480985,1
ENSG00000106086,PLEKHA8,0.006998781988738183,-0.43055075011443744,0.9150796544295687,0.008775492587898037,0.14701451255266562,1,0.01340767985619356,0.9323527411963406,0.6331051380509061
ENSG00000231519,AC007285.2,0.00034993909943690913,1.0840224227153215,0.9150796544295687,0,-0.5691925214467428,1,0,2.3586174958984394,1
ENSG00000180354,MTURN,0.0013997563977476365,0.8209880168815271,0.9150796544295687,0.0007977720534452762,-0.3061581156129485,1,0,0.5512625738408357,1
