Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000119632,IFI27L2,0.014068047906136106,0.9875918805111423,0.721756787107406,0.005400728298668058,-0.9875918805111423,0.721756787107406
ENSG00000170099,SERPINA6,0.0009378698604090737,-0.6753731322112859,1,0,0.6753731322112859,1
ENSG00000188488,SERPINA5,0.00018757397208181474,-2.260335632932442,1,0,2.260335632932442,1
ENSG00000288028,AL049839.3,0.00018757397208181474,-2.260335632932442,1,0,2.260335632932442,1
ENSG00000196136,SERPINA3,0.000750295888327259,-1.9384075380450803,0.8274411025318759,0.0018002427662226859,1.9384075380450803,0.8274411025318993
ENSG00000133937,GSC,0.0003751479441636295,-1.675373132211286,1,0,1.675373132211286,1
ENSG00000100697,DICER1,0.018007101319854214,-0.6604227907453151,0.6678254025762079,0.027003641493340287,0.6604227907453151,0.6678254025762079
ENSG00000235706,DICER1-AS1,0.0022508876649817767,-0.5598959147913511,1,0.0018002427662226859,0.5598959147913511,1
ENSG00000165959,CLMN,0.011442012296990699,0.6938606774544329,0.9316984064464662,0.005400728298668058,-0.6938606774544329,0.9316984064463603
ENSG00000247092,SNHG10,0.006002367106618072,-0.5378696084613512,1,0.007200971064890743,0.5378696084613512,1
ENSG00000182512,GLRX5,0.07165325733525323,2.1509399475502025,0.17217896143059264,0.014401942129781487,-2.1509399475502025,0.17217896143027947
ENSG00000227051,C14orf132,0.0046893493020453685,-0.14485841551250633,1,0.0036004855324453717,0.14485841551250633,1
ENSG00000168398,BDKRB2,0.007502958883272589,-1.2247117232017208,0.4545453577777117,0.01620218489600417,1.2247117232017208,0.4545453577777117
ENSG00000100739,BDKRB1,0.002063313692899962,-0.6753731322112859,1,0.0018002427662226859,0.6753731322112859,1
ENSG00000258793,AL355102.4,0.0005627219162454442,-1.260335632932442,1,0,1.260335632932442,1
ENSG00000066739,ATG2B,0.006565089022863515,-0.09041063149012984,1,0.005400728298668058,0.09041063149012984,1
ENSG00000100744,GSKIP,0.007502958883272589,1.097216371685641,0.7850250762441892,0.0018002427662226859,-1.097216371685641,0.7850250762443678
