Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value
ENSG00000217236,SP9,0.0036873094400161274,1.485629656651759,0.7305098637691098,0.0006156340188981418,-1.1937116049765013,1,0.0012050970940414968,0.020988445193390604,1,0,-1.4363236809392639,1,0.010956738768718794,3.0306015329683866,0.9520804322061026,0,0.8089215895113382,1
ENSG00000138433,CIR1,0.008428135862894006,-0.6748350155414871,0.8583197586702294,0.01292831439686098,0.15024279624086123,1,0.013256068034456467,0.23671713624882695,1,0.01381126699161122,0.288363583448505,1,0.029217970049916785,1.500086816269608,0.9520804322061026,0.008107409322597322,-0.05542331113109622,1
ENSG00000144306,SCRN3,0.0015802754742926261,-1.684295344790553,0.42575568483035525,0.007387608226777702,0.9217656124434352,1,0.010845873846373472,1.5355616180231486,1,0.0019730381416587454,-0.9582763841346198,1,0,-0.5543609677527694,1,0.012161113983895983,1.7544738054889617,0.6897935242606433
ENSG00000226853,AC010894.2,0.0010535169828617508,0.33362656320671036,1,0.0018469020566944255,1.3912508957446565,1,0,-0.20140397614305883,1,0.0009865190708293727,0.6791535364806727,1,0,1.5451747057981446,1,0,1.7020063855948253,1
ENSG00000236449,AC010894.3,0.005267584914308753,-0.37686681959830537,1,0.006771974207879561,0.11823240133823987,1,0.010845873846373472,0.9736827304150335,1,0.005919114424976237,-0.01599188199090662,1,0.003652246256239598,0.06712740899350145,1,0.008107409322597322,0.8463962949300008,1
ENSG00000115935,WIPF1,0.007374618880032255,-1.0448850600470196,0.5863629382944097,0.014159582434657264,0.168858474408208,1,0.01205097094041497,-0.04314189222632603,1,0.0108517097791231,-0.23838430332735516,1,0.03652246256239598,1.7034367897148774,0.9520804322061026,0.040537046612986606,1.860268469511558,0.49270578307034624
ENSG00000128656,CHN1,0.011588686811479258,-0.5956704454500885,0.8658000181913911,0.017853386548046114,0.25374737199472097,1,0.016871359316580955,0.1729915386384402,1,0.01677082420409934,0.1486388197818913,1,0.032870216306156386,1.248192968041014,0.9520804322061026,0.012161113983895983,-0.014200648404583127,1
ENSG00000115966,ATF2,0.00790137737146313,-0.8120508919889255,0.7525091506404166,0.011697046359064696,-0.06818072289264165,1,0.014461165128497962,0.3521943536687626,1,0.01381126699161122,0.26411603720182786,1,0.014608985024958393,0.5451747057981455,1,0.036483341951687946,1.8089215895113382,0.49377532710207794
ENSG00000154518,ATP5MC3,0.18331195501794464,0.3180030387462036,0.8959779828285467,0.1576023088379243,-0.01251549119916806,1,0.17835436991814155,0.2030676469203314,1,0.16080260854518777,0.027343437895064326,1,0.03652246256239598,-2.0429071367671896,0.9520804322061026,0.040537046612986606,-1.886075456970509,0.6495689385653045
ENSG00000144320,LNPK,0.005794343405739629,0.48562965665175994,1,0.006156340188981419,0.6027550009383678,1,0.0024101941880829937,-0.5639740555277664,1,0.0029595572124881185,-0.43632368093926477,1,0.003652246256239598,0.5451747057981455,1,0.004053704661298661,0.7020063855948262,1
ENSG00000128713,HOXD11,0.0015802754742926261,0.48562965665175817,1,0,-1.7786741056976574,1,0,-0.5639740555277655,1,0.004932595354146863,2.849078537922984,0.6811299991259545,0,1.1826046264134362,1,0,1.339436306210117,1
ENSG00000128710,HOXD10,0.0005267584914308754,-0.2513359375144475,1,0,-1.1937116049765013,1,0.0012050970940414968,1.2840228510271832,1,0.0029595572124881185,2.679153536480672,1,0,1.767567127134594,1,0,1.924398806931273,1
ENSG00000237380,HOXD-AS2,0,-2.099332844069398,0.654433133618953,0.003693804113388851,2.6136433170811033,1,0.0012050970940414968,0.6059509459145467,1,0.0009865190708293727,0.26411603720182875,1,0,1.1826046264134362,1,0,1.339436306210117,1
ENSG00000128709,HOXD9,0.0005267584914308754,2.070592157372916,0.8959779828285467,0,0.39125089574465655,1,0,1.6059509459145467,1,0,1.2641160372018287,1,0,3.35252962785575,1,0,3.509361307652431,1
ENSG00000175879,HOXD8,0.0005267584914308754,-0.5143703433482418,1,0.0006156340188981418,-0.1937116049765013,1,0.0024101941880829937,1.8689853517483392,1,0.0019730381416587454,1.5271504430356213,1,0,1.5451747057981446,1,0,1.7020063855948253,1
ENSG00000128652,HOXD3,0,-0.5143703433482418,1,0.0006156340188981418,1.3912508957446565,1,0,1.0209884451933906,1,0,0.6791535364806727,1,0.003652246256239598,4.35252962785575,0.9520804322061026,0,2.924398806931273,1
ENSG00000128654,MTX2,0.023177373622958516,0.03888329764557774,1,0.017853386548046114,-0.44332549504797214,1,0.025307038974871434,0.2198925136074683,1,0.02762253398322244,0.3672095301659315,1,0.014608985024958393,-0.3699363966153415,1,0.036483341951687946,0.8426047157676271,0.8021902656802432
ENSG00000224577,LINC01117,0.0015802754742926261,-0.2513359375144475,1,0.0012312680377962837,-0.4832182221714856,1,0.0036152912821244905,1.2840228510271832,1,0.0019730381416587454,0.3896469192856866,1,0.003652246256239598,1.767567127134594,1,0.004053704661298661,1.924398806931273,0.9929081459377024
ENSG00000163364,LINC01116,0.0031605509485852523,0.2929845787093637,1,0.0030781700944907094,0.27577367832472,1,0.0012050970940414968,-0.4815118953357942,1,0.0019730381416587454,-0.15092146207701518,1,0.003652246256239598,1.2650667866054093,1,0.008107409322597322,2.094323808373587,0.7267688777641689
ENSG00000229337,AC079305.3,0.0010535169828617508,-0.15180026396353163,1,0.0006156340188981418,-0.6087491042553435,1,0.0024101941880829937,1.3835585245780972,1,0.0009865190708293727,0.26411603720182875,1,0,1.1826046264134362,1,0.008107409322597322,3.2869688863159814,0.5123032367418775
ENSG00000170144,HNRNPA3,0.09692356242328107,-0.04188257188549649,1,0.12743624191191535,0.5332699006170838,1,0.09038228205311226,-0.1376433867175635,1,0.0868136782329848,-0.2143468422186494,1,0.06574043261231277,-0.5442011015325474,1,0.04459075127428527,-1.0680675203833188,1
ENSG00000116044,NFE2L2,0.03739985289159215,-0.21891445982206914,1,0.049866355530749494,0.3737634690158149,1,0.0373580099152864,-0.14893655624892244,1,0.04143380097483366,0.01090069239847935,1,0.03652246256239598,-0.0767820024052126,1,0.04459075127428527,0.21168075901174532,1
