Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value
ENSG00000196167,COLCA1,0.0006670546422596593,2.5486700552091417,0.9723873570851563,0,0.5808015431546014,1,0,1.485381181415761,1,0,1.3248002736318725,1,0,3.410824954986431,1,0,2.3256262923377946,1,0,3.5096521964124126,1
ENSG00000214290,COLCA2,0.0006670546422596593,-0.03629244551201438,1,0.0020347750314409067,1.5808015431546014,1,0.0011220160507079706,0.9004186806946048,1,0,-0.48255464842573126,1,0.0037963627558653345,2.825862454265275,1,0,0.5182713702801909,1,0,1.7022972743548088,1
ENSG00000137707,BTG4,0,0.5486700552091417,1,0,0.5808015431546014,1,0,1.485381181415761,1,0,1.3248002736318725,1,0,3.410824954986431,1,0,2.3256262923377946,1,0.004054490879704455,5.5096521964124126,0.4786344465218448
ENSG00000204381,LAYN,0.0013341092845193187,1.1336325559302995,1,0,-1.0041609575665547,1,0,-0.09958131930539516,1,0.00306490048963938,2.7398377729107173,1,0,1.825862454265275,1,0,0.7406637916166385,1,0,1.9246896956912565,1
ENSG00000170145,SIK2,0.015342256771972165,-0.7367321636531061,0.9629401524948675,0.02713033375254542,0.29449735799796173,1,0.008976128405663765,-1.3890879365003794,1,0.03371390538603318,0.670796128481066,1,0.053149078582114685,1.340435627095034,0.9741277748011388,0.013130963521303097,-0.7296561431633943,1,0.05676287231586237,1.4392628685210154,0.4786344465218448
ENSG00000137713,PPP2R1B,0.006003491780336934,0.4782807273177445,1,0.005426066750509084,0.29129492595961803,1,0.003366048152123912,-0.2695063207477073,1,0.00408653398618584,-0.05371134962185575,1,0,-0.4960656406220876,1,0.007503407726458912,0.9471146690840646,1,0.004054490879704455,0.6516712012848407,1
ENSG00000086848,ALG9,0.006003491780336934,0.34703619403949126,1,0.006782583438136355,0.5808015431546032,1,0.004488064202831882,-0.0000456457544801836,1,0.00204326699309292,-0.9971278212554884,1,0.007592725511730669,1.0888968600990685,1,0.007503407726458912,0.8401994651675526,1,0,-0.49034780358758745,1
ENSG00000255561,FDXACB1,0.0006670546422596593,0.22674196032177818,1,0.0006782583438136355,0.2588734482672397,1,0.0011220160507079706,1.1634530865283992,1,0.00102163349654646,1.0028721787445107,1,0,1.825862454265275,1,0.001875851931614728,2.003698197450433,1,0,1.9246896956912565,1
ENSG00000137720,C11orf1,0.013341092845193187,0.8117044610429351,0.9437848665387948,0.008817358469577262,-0.004160957566553769,1,0.004488064202831882,-0.8651160656683716,1,0.01123796846201106,0.4503311557157321,1,0.0037963627558653345,-0.3440625471770371,1,0.00937925965807364,0.2667326032842263,1,0,-1.2717075171122465,0.997190562888686
ENSG00000109846,CRYAB,0.0006670546422596593,0.22674196032177818,1,0.0006782583438136355,0.2588734482672397,1,0,-0.09958131930539516,1,0.00306490048963938,2.7398377729107173,1,0,1.825862454265275,1,0,0.7406637916166385,1,0,1.9246896956912565,1
