Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value
ENSG00000227258,SMIM2-AS1,0.0012462527252906986,0.192893452705718,1,0.0006636622971786043,-0.4612019630670474,1,0.0010956319475294632,0.4448786463351926,1,0.002397053644313278,1.3743826849722183,1,0,1.194326326217043,1,0.0019318356839534416,1.372128474424196,1,0.004194093875094342,2.560388062681927,0.8485857038808962,0,8.997148222479947,1
ENSG00000102804,TSC22D1,0.07415203715479657,0.0367742507884361,1,0.0623842559347888,-0.2879511359179583,1,0.07559860437953297,0.07431577619695373,1,0.08269835072880809,0.22621223617042707,1,0.07729586061759547,0.14420284679120687,1,0.06568241325441702,-0.13158370577379408,1,0.10065825300226419,0.5353592681904047,0.913624325965586,0,3.4155291648331616,1
ENSG00000237585,LINC00407,0.0006231263626453493,2.4152858740421657,1,0,0.5387980369329526,1,0,1.4448786463351926,1,0,1.596775106308666,1,0,3.364251327659355,1,0,2.372128474424196,1,0,3.560388062681927,1,0,11.167073223922259,1
ENSG00000276527,AL356515.1,0,0.41528587404216566,1,0,0.5387980369329526,1,0,1.4448786463351926,1,0,1.596775106308666,1,0,3.364251327659355,1,0,2.372128474424196,1,0.004194093875094342,5.560388062681927,0.49646219667814545,0,11.167073223922259,1
ENSG00000083635,NUFIP1,0.01682441179142443,1.1351779548494303,1,0.007300285268964647,-0.5200956521206166,1,0.00986068752776517,0.06636702308146258,1,0.004794107288626556,-0.9141868129687136,1,0.01104226580251364,0.5062703325317832,1,0.005795507051860325,-0.48585252070337503,1,0.012582281625283024,0.7024070675543541,1,0,6.236335886359374,1
ENSG00000223732,AL359706.1,0.0006231263626453493,0.8303233733210096,1,0.0006636622971786043,0.9538355362117965,1,0,0.4448786463351926,1,0.001198526822156639,2.01181260558751,1,0,2.364251327659355,1,0,1.372128474424196,1,0,2.560388062681927,1,0,10.167073223922259,1
ENSG00000133114,GPALPP1,0.011216274527616288,0.6188192681272975,1,0.006636622971786042,-0.3593223490478339,1,0.00986068752776517,0.3744893184437945,1,0.003595580466469917,-0.9881873944124901,1,0.0073615105350090925,0.3345039842653037,1,0.01159101410372065,0.6876303001521267,1,0.008388187750188684,0.5306407192878755,1,0,6.4946478819507645,1
ENSG00000188342,GTF2F2,0.033025697220203515,0.3757575098555277,1,0.02787381648150138,0.03432545407216381,1,0.028486430635766048,0.09124169172049257,1,0.020374955976662862,-0.43297223708538546,1,0.02208453160502728,-0.1321744984601434,1,0.019318356839534416,-0.4352264476334069,1,0.037746844875849075,0.606191752295052,0.9874263859636688,0,4.809521219304176,1
ENSG00000133112,TPT1,0.7278115915697679,-0.07269509781923877,1,0.8481604157942563,0.22978664143235575,1,0.8589754468630992,0.22261750440562278,1,0.8137997122443579,0.1265827928335846,1,0.20612229498025458,-1.9031924773024442,0.9383357236015583,0.8384166868357937,0.1665346243802922,1,0.19712241212943404,-1.957937245008939,0.635849819906055,0,0.048456534570751664,1
ENSG00000273149,AL138963.4,0.0006231263626453493,1.4152858740421657,1,0,-0.04616446378820349,1,0,0.8599161456140365,1,0.001198526822156639,2.596775106308666,1,0,2.779288826938199,1,0,1.7871659737030399,1,0,2.975425561960771,1,0,10.582110723201103,1
