Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000198054,DSCR8,0.00046493795884822435,-0.2037238933259271,1,0.0004711326608692671,-0.17376070416683298,1,0.0018175231589297744,2.1198791314622785,1,0,1.06459387964113,1
ENSG00000157554,ERG,0.00046493795884822435,0.7962761066740729,1,0.0004711326608692671,0.826239295833167,1,0,0.5349166307411224,1,0,1.8015594738073375,1
ENSG00000157557,ETS2,0.025106649777804114,-0.38814846446335594,0.8970716366612504,0.024498898365201888,-0.4345249363757988,1,0.04543807897324436,0.7810772180105214,1,0.04288975140108883,0.6154631816938787,0.6855780899789993
ENSG00000205622,AP001042.1,0,-0.2037238933259271,1,0.0004711326608692671,1.826239295833167,1,0,1.1198791314622785,1,0,2.3865219745284936,1
ENSG00000183527,PSMG1,0.024176773860107668,0.11480562509956904,1,0.024970031026071156,0.18880937521787455,1,0.024536562645551954,0.14587433999522403,1,0.007798136618379788,-1.3468323660853336,0.5031167719819667
ENSG00000185658,BRWD1,0.013483200806598506,-0.6187613926047719,0.7586579735467056,0.019787571756509217,0.18641486007749286,1,0.01908399316876263,0.11987913146227935,1,0.031192546473519153,0.9348260046708008,0.49160011644495266
ENSG00000255568,BRWD1-AS2,0.0009298759176964487,2.381238607395229,0.7081650828856005,0,-0.7587232048879891,1,0,0.5349166307411224,1,0,1.8015594738073375,1
ENSG00000205581,HMGN1,0.13250731827174395,0.2046033843633639,1,0.1272058184347021,0.10748843726673396,1,0.12904414428401398,0.11484354156498089,1,0.03509161478270905,-1.8126337382375741,0.23573127720203133
ENSG00000182093,GET1,0.011623448971205609,0.004862728485489853,1,0.013662847165208747,0.37557788682360194,1,0.011813900533043533,0.0943440393551418,1,0.003899068309189894,-1.1159783660006903,0.6591418500521508
ENSG00000157578,LCA5L,0.0023246897942411217,1.381238607395229,0.7536320850601681,0.0004711326608692671,-1.173760704166833,1,0.0018175231589297744,0.8974867101258308,1,0,0.21659697308618142,1
