Feature
788,ENSG00000143314
789,ENSG00000165630
790,ENSG00000214717
791,ENSG00000121766
792,ENSG00000075891
793,ENSG00000152270
794,ENSG00000166401
795,ENSG00000134086
796,ENSG00000122417
797,ENSG00000131094
798,ENSG00000229043
799,ENSG00000265413
800,ENSG00000270571
801,ENSG00000165802
802,ENSG00000144591
803,ENSG00000051596
804,ENSG00000215712
805,ENSG00000126453
806,ENSG00000213397
807,ENSG00000128294
808,ENSG00000162300
809,ENSG00000171606
810,ENSG00000152492
811,ENSG00000142694
812,ENSG00000116954
813,ENSG00000131148
814,ENSG00000115234
815,ENSG00000126903
816,ENSG00000136878
817,ENSG00000165215
818,ENSG00000204599
819,ENSG00000141971
820,ENSG00000138744
821,ENSG00000204524
822,ENSG00000100216
823,ENSG00000139579
824,ENSG00000137815
825,ENSG00000213380
826,ENSG00000184357
827,ENSG00000132541
828,ENSG00000106330
829,ENSG00000151287
830,ENSG00000260430
831,ENSG00000197713
832,ENSG00000273841
833,ENSG00000089486
834,ENSG00000143228
835,ENSG00000158062
836,ENSG00000128596
837,ENSG00000286753
838,ENSG00000027001
839,ENSG00000167881
840,ENSG00000138796
841,ENSG00000101193
842,ENSG00000136490
843,ENSG00000063244
844,ENSG00000172817
845,ENSG00000106009
846,ENSG00000239382
847,ENSG00000258818
848,ENSG00000116691
849,ENSG00000122386
850,ENSG00000196943
851,ENSG00000136240
852,ENSG00000115211
853,ENSG00000109536
854,ENSG00000176410
855,ENSG00000161647
856,ENSG00000100348
857,ENSG00000189306
858,ENSG00000135469
859,ENSG00000277972
860,ENSG00000011478
861,ENSG00000136710
862,ENSG00000096092
863,ENSG00000280789
864,ENSG00000171421
865,ENSG00000278970
866,ENSG00000171931
867,ENSG00000204954
868,ENSG00000187024
869,ENSG00000230337
870,ENSG00000147416
871,ENSG00000141556
872,ENSG00000132471
873,ENSG00000128283
874,ENSG00000101421
875,ENSG00000178809
876,ENSG00000229127
877,ENSG00000197894
878,ENSG00000120656
879,ENSG00000160949
880,ENSG00000084693
881,ENSG00000088002
882,ENSG00000197498
883,ENSG00000180228
884,ENSG00000130475
885,ENSG00000169490
886,ENSG00000185608
887,ENSG00000243279
888,ENSG00000158716
889,ENSG00000116670
890,ENSG00000101057
891,ENSG00000042088
892,ENSG00000084623
893,ENSG00000204673
894,ENSG00000270170
895,ENSG00000185361
896,ENSG00000124279
897,ENSG00000167779
898,ENSG00000183072
899,ENSG00000188010
900,ENSG00000124596
901,ENSG00000002549
902,ENSG00000272644
903,ENSG00000122692
904,ENSG00000152219
905,ENSG00000143278
906,ENSG00000170373
907,ENSG00000099282
908,ENSG00000157593
909,ENSG00000066322
910,ENSG00000183155
911,ENSG00000132716
912,ENSG00000181852
913,ENSG00000235823
914,ENSG00000119041
915,ENSG00000104897
916,ENSG00000275835
917,ENSG00000198746
918,ENSG00000112294
919,ENSG00000164323
920,ENSG00000198898
921,ENSG00000145476
922,ENSG00000117758
923,ENSG00000116663
924,ENSG00000161677
925,ENSG00000117399
926,ENSG00000140691
927,ENSG00000151552
928,ENSG00000155115
929,ENSG00000223478
930,ENSG00000183963
931,ENSG00000204435
