Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value
ENSG00000188092,GPR89B,0.0016977381538612266,-0.7792914984301955,0.9610226924088704,0.005189357024085657,1.2590891540144415,1,0.002143528521380355,-0.09526924263163217,1,0.003911244158748397,0.8889395892223924,1,0.0021255168540413876,-0.10973425395272685,1
ENSG00000274372,LINC02804,0,0.22070850156980448,1,0,0.25908915401444155,1,0,1.4072310978975509,1,0.0019556220793741984,4.391439929751577,0.43707824958666613,0,1.3927660865764562,1
ENSG00000263956,NBPF11,0.0016977381538612266,-1.3028534544872086,0.8269334345600123,0.005765952248984064,0.7185207726517389,1,0.00428705704276071,0.2697275741476153,1,0.007822488317496793,1.2539364060016407,0.6076463913184197,0.004251033708082775,0.2552625628265224,1
ENSG00000232265,LINC02805,0,0.22070850156980448,1,0,0.25908915401444155,1,0,1.4072310978975509,1,0.0019556220793741984,4.391439929751577,0.43707824958666613,0,1.3927660865764562,1
ENSG00000227733,AC239809.3,0,-0.3642539991513516,1,0.0005765952248984064,1.2590891540144415,1,0.0010717642606901776,2.407231097897551,1,0,1.806477429030421,1,0,0.8078035858553001,1
ENSG00000234283,LINC01731,0.0011318254359074843,2.8056710022909606,0.7686404582755952,0,-0.32587334670671453,1,0,0.8222685971763948,1,0,1.806477429030421,1,0,0.8078035858553001,1
ENSG00000274020,LINC01138,0.0016977381538612266,-1.5341790005936646,0.6993482863932212,0.00634254747388247,0.5961241412920124,1,0.006430585564141065,0.6296235192339985,1,0.009778110396870992,1.332546240698008,0.5425625068535064,0.004251033708082775,0.01425446332272795,1
ENSG00000224481,AC245100.1,0,-0.7792914984301955,1,0,-0.7409108459855585,1,0.0010717642606901776,1.8222685971763948,1,0,1.3914399297515772,1,0.0021255168540413876,2.9777285872976123,1
ENSG00000270629,NBPF14,0.0011318254359074843,-0.19432899770903944,1,0.0017297856746952191,0.4517342319568378,1,0.0010717642606901776,0.2373060964552387,1,0.0019556220793741984,1.2215149283092632,1,0.0021255168540413876,0.9777285872976123,1
ENSG00000177144,NUDT4B,0,0.22070850156980448,1,0,0.25908915401444155,1,0,1.4072310978975509,1,0,2.391439929751577,1,0.0010627584270206938,3.392766086576456,1
ENSG00000178104,PDE4DIP,0.0028295635897687106,0.48374290740359704,1,0.002882976124492032,0.5221235598482359,1,0.0032152927820705327,0.8222685971763948,1,0,-0.5154506658569424,1,0.0010627584270206938,-0.41458883548114756,1
ENSG00000254539,AC239804.1,0,0.22070850156980448,1,0,0.25908915401444155,1,0,1.4072310978975509,1,0,2.391439929751577,1,0.0010627584270206938,3.392766086576456,1
ENSG00000269713,NBPF9,0.0022636508718149686,-0.7052909169864181,1,0.0017297856746952191,-1.0628389408729202,1,0.00857411408552142,1.6702655037313452,1,0.0019556220793741984,-0.06799168888572105,1,0.006376550562124163,1.1126581673837217,1
ENSG00000274265,AC245297.3,0.009620516205213616,0.9983160802333568,0.7686404582755952,0.004612761799187251,-0.477876440151765,1,0.00428705704276071,-0.3583036484654265,1,0.0058668662381225955,0.262156912806609,1,0.0053137921351034696,-0.06666553206083936,1
ENSG00000286219,NOTCH2NLC,0.0011318254359074843,0.8056710022909606,1,0,-1.3258733467067145,1,0.002143528521380355,1.992193598618707,1,0.0019556220793741984,2.0695118348642136,0.7542195339988682,0,-0.1921964141446999,1
ENSG00000271383,NBPF19,0.0016977381538612266,0.413353579512199,1,0.0017297856746952191,0.4517342319568378,1,0.002143528521380355,0.9921935986187069,1,0,0.06951183486421364,1,0.0010627584270206938,0.22284108513414402,1
ENSG00000203814,HIST2H2BF,0.0011318254359074843,-0.001683919766644948,1,0.0017297856746952191,0.6741266532932855,1,0.0010717642606901776,0.40723109789755085,1,0.0019556220793741984,1.3914399297515772,0.8969007502598441,0.0010627584270206938,0.3927660865764562,1
ENSG00000270882,HIST2H4A,0.0011318254359074843,1.8056710022909606,0.9412372514258726,0.0005765952248984064,0.6741266532932855,1,0,0.40723109789755085,1,0,1.3914399297515772,1,0,0.3927660865764562,1
ENSG00000272196,HIST2H2AA4,0,-1.3642539991513516,0.9610226924088704,0.0023063808995936255,2.5810172489018033,1,0,-0.17773140282360522,1,0,0.8064774290304211,1,0.0010627584270206938,1.0708379916890944,1
ENSG00000270276,HIST2H4B,0.0011318254359074843,1.2207085015698045,1,0.0011531904497968128,1.2590891540144415,1,0,0.08530300301018912,1,0,1.0695118348642136,1,0,0.07083799168909444,1
ENSG00000264207,AC239868.1,0.0011318254359074843,0.22070850156980448,1,0.0017297856746952191,0.9371610591270798,1,0,-0.5927689021024491,1,0.0019556220793741984,1.5840850076939716,0.9160421464371293,0.0010627584270206938,0.5854111645188524,1
ENSG00000184678,HIST2H2BE,0,-1.3642539991513516,0.9610226924088704,0.0011531904497968128,0.8440516547355976,1,0,-0.17773140282360522,1,0,0.8064774290304211,1,0.0031882752810620816,2.807803585855301,1
ENSG00000184260,HIST2H2AC,0.008488690769306133,0.011255135940854366,1,0.01441488062246016,1.204641369992065,1,0.006430585564141065,-0.3089759361018585,1,0.0019556220793741984,-1.280985412219919,0.6348323888594894,0.004251033708082775,-0.8702683192573364,1
ENSG00000184270,HIST2H2AB,0.0016977381538612266,0.413353579512199,1,0.002882976124492032,1.5221235598482359,1,0,-0.9146969969898109,1,0.0019556220793741984,1.2215149283092632,1,0,-0.9291620083109056,1
ENSG00000178096,BOLA1,0.012450079794982328,0.6998763382683642,0.9259120500315016,0.009802118823272908,0.1810866420131685,1,0.0075023498248312425,-0.17773140282360522,1,0.0019556220793741984,-1.363447572411892,0.647640254274372,0.007439308989144857,-0.19219641414469812,1
ENSG00000159164,SV2A,0,0.22070850156980448,1,0,0.25908915401444155,1,0,1.4072310978975509,1,0.0019556220793741984,4.391439929751577,0.43707824958666613,0,1.3927660865764562,1
ENSG00000143368,SF3B4,0.022070596000195945,0.2207085015698036,1,0.02248721377103785,0.25908915401444155,1,0.02465057799587408,0.40723109789755085,1,0.017600598714367786,-0.06799168888572105,1,0.00850206741616555,-1.231724778331336,1
ENSG00000014914,MTMR11,0.003961389025676196,0.8987804066824419,0.9452841281715801,0.0023063808995936255,-0.11942246923928934,1,0.0010717642606901776,-0.5927689021024491,1,0.0058668662381225955,1.5840850076939708,0.5659434706217477,0.0010627584270206938,-0.6072339134235438,1
ENSG00000264522,OTUD7B,0.008488690769306133,-0.8453806888879676,0.7772441027377105,0.018451047196749004,0.6596270835981706,1,0.011789406867591952,-0.1575535208859753,1,0.011733732476245191,-0.04913266163440522,1,0.018066893259351794,0.5403232749903157,1
