Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value
ENSG00000185201,IFITM2,0.028401906086089144,0.2963059590298043,0.9867748586915309,0.029574609421511466,0.35274758465832345,1,0.018747624517963964,-0.32438659660458935,1,0.017927742824691485,-0.4738711781668812,1,0.02684830554472554,0.19115935471642587,1,0.014753681218703034,-0.6304449575507567,1
ENSG00000251661,AC136475.1,0,0.028109848080232425,1,0,0.6075614836871477,1,0,2.3247062415362834,1,0,1.4830600999412322,1,0.0016780190965453461,4.148090632824539,1,0,2.509106394848036,1
ENSG00000142089,IFITM3,0.0036147880473204365,0.8581848466379203,0.8928128201212178,0.0006877816144537551,-1.2993291119213701,1,0.0018747624517963964,0.41781564592776377,1,0.0033614517796296535,0.7826203818001405,1,0.0016780190965453461,0.24120003721602146,1,0.00421533749105801,1.2867139735115884,1
ENSG00000255328,AC136475.5,0.0005163982924743481,1.0281098480802324,1,0,0.02259898296599161,1,0,1.7397437408151255,1,0,0.8980975992200761,1,0.0016780190965453461,3.1480906328245393,1,0,1.92414389412688,1
ENSG00000270972,AC136475.9,0.0005163982924743481,2.0281098480802324,0.8928128201212178,0,0.6075614836871477,1,0,2.3247062415362834,1,0,1.4830600999412322,1,0,2.1480906328245393,1,0,2.509106394848036,1
ENSG00000182272,B4GALNT4,0.0036147880473204365,-0.05935299317010756,1,0.0027511264578150203,-0.3924385163128523,1,0.005624287355389189,0.9323888187575218,0.9371381407326382,0.0033614517796296535,0.09074267716247242,1,0.005034057289636039,0.7557732100457804,1,0.006323006236587015,1.1167889720692763,1
ENSG00000184363,PKP3,0.007745974387115221,1.220754926022627,0.5385316895731043,0.004814471301176285,0.14812986504985126,1,0,-1.5332747535912894,0.6491687630634705,0.0022409678530864357,-0.6868649015010808,1,0.005034057289636039,0.4476509146834484,1,0.002107668745529005,-0.2982485272095676,1
ENSG00000185187,SIGIRR,0.03511508388825567,0.1479496180862352,1,0.037140207180502774,0.24936984481301394,1,0.005624287355389189,-2.2602562591848736,0.21723498760785087,0.03361451779629653,0.07093419608229201,1,0.036916420123997616,0.23702436124482862,1,0.035830368673993085,0.2032979653239515,1
ENSG00000174915,PTDSS2,0.02375432145382001,1.0591367437008552,0.3313399247712821,0.010316724216806326,-0.6592250570077525,1,0.016872862066167567,0.2715949050767197,1,0.014566291045061831,-0.013365726178266257,1,0.006712076386181385,-0.9894128909253936,1,0.00843067498211602,-0.6283971289018986,1
ENSG00000023191,RNH1,0.093468090937857,0.6350376802981792,0.5251541247015522,0.07084150628873677,-0.0003378283111672431,1,0.03749524903592793,-0.9268325254596825,0.6239545351308906,0.060506132033333763,-0.2512800248181506,1,0.0654427447652685,-0.10362845978141921,1,0.04636871240163811,-0.6039562696385996,1
ENSG00000288033,AC137894.3,0.0010327965849486961,0.291144253914025,1,0,-1.199793438370456,1,0.0018747624517963964,1.7397437408151255,0.8383446073956439,0.0011204839265432178,0.8980975992200761,1,0,0.34073571076693554,1,0.00421533749105801,2.7721408006818304,1
ENSG00000174775,HRAS,0.05163982924743481,0.41953479013712514,0.8631712426051986,0.05433474754184665,0.47827846674218133,1,0.018747624517963964,-1.146599477389306,0.5442104272880682,0.04033742135555584,-0.07567085920674455,1,0.023492267351634847,-0.851909367175459,1,0.02950736243740607,-0.4908936051519639,1
ENSG00000185522,LMNTD2,0.0010327965849486961,1.6130723488013885,0.8928128201212178,0.0006877816144537551,1.0225989829659916,1,0,1.3247062415362834,1,0,0.4830600999412322,1,0,1.1480906328245393,1,0,1.509106394848036,1
ENSG00000254815,AP006284.1,0,-0.5568526526409237,1,0.0006877816144537551,1.6075614836871477,1,0,1.7397437408151255,1,0.0011204839265432178,2.4830600999412322,1,0,1.5631281321033832,1,0,1.92414389412688,1
ENSG00000099849,RASSF7,0.015491948774230442,0.5560414037650085,0.8543848849530756,0.012380069060167592,0.07412928360607385,1,0.005624287355389189,-0.8045767754086839,0.8705948670598992,0.011204839265432177,-0.034788204921386345,1,0.015102171868908117,0.47001872771190367,1,0.00421533749105801,-1.0556782239354892,1
ENSG00000247095,MIR210HG,0.0015491948774230442,0.22075492602262692,1,0.0013755632289075101,0.19252398440830376,1,0,0.0027781466489198436,1,0.0011204839265432178,0.3131350984989201,1,0.0033560381930906923,1.7330531335456962,1,0.002107668745529005,1.339181393405724,1
ENSG00000070047,PHRF1,0.008778770972063917,-0.7792450739773722,0.7160438422592015,0.016506758746890123,0.4440627514042692,1,0.013123337162574774,0.13488168265626488,1,0.012325323191975397,-0.040501856115779944,1,0.020136229158544156,0.7610675097152928,1,0.01686134996423204,0.5091063948480361,1
ENSG00000185507,IRF7,0.0010327965849486961,0.028109848080232425,1,0.0013755632289075101,0.6075614836871477,1,0.0018747624517963964,1.5173513194786779,0.9271610247298226,0,-0.5169399000587678,1,0.0016780190965453461,1.3407357107669355,1,0.002107668745529005,1.7017514727904324,1
ENSG00000177030,DEAF1,0.010327965849486961,-0.8833534773181109,0.5914146936013388,0.015818977132436365,-0.05540352903528056,1,0.029996199228742342,1.037129651439697,0.44143479652576123,0.02016871067777792,0.39113761050019313,1,0.020136229158544156,0.40558685511690395,1,0.018969018709761046,0.33918139340572395,1
ENSG00000255158,AC131934.1,0,-2.5568526526409237,0.5793142910424226,0.0013755632289075101,-0.12940411047905798,1,0.011248574710778378,3.5470986628727292,0.17433804022370936,0.0011204839265432178,0.023628481303934024,1,0.0033560381930906923,1.4111250386583345,1,0,-0.07585610587311997,1
ENSG00000177106,EPS8L2,0.017557541944127834,0.9874678635828857,0.4609399037897936,0.006190034530083796,-1.0012477589883755,1,0.013123337162574774,0.3474263180363657,1,0.005602419632716089,-0.9543452123660661,1,0.018458210061998808,0.8504100841838556,1,0.006323006236587015,-0.556982795609736,1
ENSG00000177042,TMEM80,0.0041311863397947846,-0.2613967691147536,1,0.006190034530083796,0.5371721557957496,1,0.0018747624517963964,-0.5332747535912894,1,0.0011204839265432178,-1.3749208951863405,1,0.010068114579272078,1.3704830541609878,1,0.00843067498211602,1.130594771594306,1
ENSG00000269915,AP006621.4,0,-1.293818246807131,0.8928128201212178,0.0006877816144537551,0.6075614836871477,1,0,1.0027781466489198,1,0,0.1611320050538687,1,0.0016780190965453461,2.1480906328245393,1,0.00421533749105801,3.509106394848036,1
ENSG00000177156,TALDO1,0.19055096992303444,0.6376503715220534,0.4782430190660939,0.14030744934856604,-0.05725432472322245,1,0.06374192336107748,-1.2254908410241976,0.44143479652576123,0.11653032836049465,-0.35344116777588797,1,0.13927558501326373,-0.05017899431173367,1,0.1243524559862113,-0.21881405971516266,1
ENSG00000177225,GATD1,0.008262372679589569,-0.24197931528751315,1,0.008253379373445061,-0.18385189450143447,1,0.014998099614371171,0.8799213988633863,0.664559928239417,0.013445807118518614,0.6916467217526501,1,0.00839009548272673,0.032613415404604496,1,0.006323006236587015,-0.24578110731543212,1
ENSG00000255284,AP006621.3,0.014459152189281746,0.5285388385897196,0.8928128201212178,0.00962894260235257,-0.26690763422899355,1,0.0074990498071855856,-0.37573347660481016,1,0.008963871412345743,-0.2777522361793414,1,0.00839009548272673,-0.2669468664543029,1,0.018969018709761046,0.92414389412688,1
ENSG00000184524,CEND1,0.0005163982924743481,0.028109848080232425,1,0,-0.714366611200214,1,0.0018747624517963964,2.3247062415362834,0.7432283041936323,0.0011204839265432178,1.4830600999412322,1,0,0.8261625379371775,1,0.002107668745529005,2.509106394848036,1
ENSG00000177542,SLC25A22,0.0041311863397947846,0.6130723488013885,1,0.004126689686722531,0.6075614836871477,1,0,-0.9972218533510802,0.8942963056296735,0.004481935706172871,0.8049881948285948,1,0,-1.1738374620628225,1,0.002107668745529005,0.2611788814044509,1
ENSG00000274897,PANO1,0,-0.5568526526409237,1,0.0006877816144537551,1.6075614836871477,1,0,1.7397437408151255,1,0,0.8980975992200761,1,0.0016780190965453461,3.1480906328245393,1,0,1.92414389412688,1
ENSG00000177595,PIDD1,0.0041311863397947846,0.49759513138145195,1,0.0034389080722687752,0.19252398440830376,1,0.005624287355389189,1.1547812400939694,0.7178874987171117,0.0011204839265432178,-0.8388679949461304,1,0.0016780190965453461,-0.17383746206282247,1,0.00421533749105801,0.846141382125607,1
ENSG00000177600,RPLP2,0.8541227757525717,0.34514283728430495,0.8928128201212178,0.7297362929354341,-0.00609446831187721,1,0.21559768195658557,-1.852111725913413,0.18761177003774138,0.7451218111512399,0.03033962097336035,1,0.7014119823559547,-0.0677695628233912,1,0.836744491975015,0.21130297476488147,1
ENSG00000177666,PNPLA2,0.008262372679589569,0.20868209372205193,1,0.008941160987898817,0.3705222863862989,1,0.0074990498071855856,0.2543169136448835,1,0.005602419632716089,-0.2895294039556946,1,0.005034057289636039,-0.27817412187755775,1,0.00843067498211602,0.43871706695663804,1
ENSG00000177685,CRACR2B,0.0005163982924743481,2.0281098480802324,0.8928128201212178,0,0.6075614836871477,1,0,2.3247062415362834,1,0,1.4830600999412322,1,0,2.1480906328245393,1,0,2.509106394848036,1
ENSG00000177697,CD151,0.16679664846921444,0.6130723488013876,0.5200086526772582,0.1024794605536095,-0.40679380928992215,1,0.0956128850416162,-0.43428565895992266,1,0.11204839265432177,-0.21407951373178546,1,0.10403718398581147,-0.31134098581275715,1,0.14542914344150135,0.21632464562019083,1
ENSG00000177700,POLR2L,0.36560999107183845,0.6839704741027104,0.39381679671470743,0.2923071861428459,0.13403674557319833,1,0.07311573562005945,-1.9689953005444527,0.1759702852749718,0.22185581745555713,-0.34179472680127443,1,0.23827871170943915,-0.2097074185308816,1,0.20022853082525546,-0.46912737664754434,1
