Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_I1_001	(1, 0.023839234950428105)	(2, 0.005274167024430997)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_I2_001	(1, 0.30621813743846366)	(2, 0.008966083941532694)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00021096668097723983)	(10, 0.00021096668097723983)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_R1_001	(1, 0.0035864335766130776)	(2, 0.008649633920066836)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.010548334048861994)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0005274167024430996)	(21, 0.0)	(22, 0.0)	(23, 0.001582250107329299)	(24, 0.00010548334048861992)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.00031645002146585976)																																																														
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_R2_001	(1, 0.00031645002146585976)	(2, 0.001582250107329299)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00042193336195447967)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00031645002146585976)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0007383833834203394)	(20, 0.00021096668097723983)	(21, 0.00010548334048861992)	(22, 0.00010548334048861992)	(23, 0.00010548334048861992)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.00021096668097723983)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.00010548334048861992)	(41, 0.0)	(42, 0.00042193336195447967)	(43, 0.00031645002146585976)	(44, 0.00021096668097723983)	(45, 0.002531600171726878)	(46, 0.0)	(47, 0.00031645002146585976)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.00021096668097723983)	(53, 0.00021096668097723983)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.00031645002146585976)	(58, 0.00031645002146585976)	(59, 0.00031645002146585976)	(60, 0.0)	(61, 0.00010548334048861992)	(62, 0.0)	(63, 0.00010548334048861992)	(64, 0.0)	(65, 0.00021096668097723983)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.00021096668097723983)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.00021096668097723983)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0018987001287951587)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0005274167024430996)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_I1_001	(1, 0.029555880670242927)	(2, 0.015200167201839221)	(3, 0.0)	(4, 0.0)	(5, 0.0003166701500383171)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0007388970167560732)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_I2_001	(1, 0.3211035321388535)	(2, 0.0047500522505747565)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.00010555671667943902)	(8, 0.0)	(9, 0.0)	(10, 0.0024278044836270976)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_R1_001	(1, 0.003061144783703732)	(2, 0.004855608967254195)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.00992233136786727)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0023222477669476585)	(24, 0.00010555671667943902)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0038000418004598053)																																																														
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_R2_001	(1, 0.00021111343335887805)	(2, 0.0015833507501915854)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0003166701500383171)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0007388970167560732)	(20, 0.0)	(21, 0.0)	(22, 0.00010555671667943902)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0003166701500383171)	(33, 0.00010555671667943902)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.00021111343335887805)	(43, 0.00021111343335887805)	(44, 0.0006333403000766343)	(45, 0.0026389179169859756)	(46, 0.00010555671667943902)	(47, 0.00021111343335887805)	(48, 0.0004222268667177561)	(49, 0.00010555671667943902)	(50, 0.0)	(51, 0.0)	(52, 0.00021111343335887805)	(53, 0.00010555671667943902)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.00021111343335887805)	(58, 0.0008444537334355122)	(59, 0.00021111343335887805)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.00010555671667943902)	(64, 0.0)	(65, 0.0)	(66, 0.00021111343335887805)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0007388970167560732)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.00021111343335887805)	(75, 0.0)	(76, 0.00010555671667943902)	(77, 0.0)	(78, 0.00010555671667943902)	(79, 0.0)	(80, 0.0)	(81, 0.00010555671667943902)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.005066722400613074)	(86, 0.0)	(87, 0.00010555671667943902)	(88, 0.0)	(89, 0.0)	(90, 0.0027444746336654146)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_I1_001	(1, 0.03155834468512848)	(2, 0.015726043816158296)	(3, 0.0)	(4, 0.0)	(5, 0.000531285264059402)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0028689404259207704)																																																																																
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_I2_001	(1, 0.3183461302243936)	(2, 0.00031877115843564115)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.00010625705281188038)	(8, 0.0)	(9, 0.00021251410562376076)	(10, 0.004144025059663335)																																																																																
