Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_I1_001	(11.0, 5.0)	(12.0, 15.0)	(13.0, 56.0)	(14.0, 0.0)	(15.0, 109.0)	(16.0, 252.0)	(17.0, 525.0)	(18.0, 253.0)	(19.0, 726.0)	(20.0, 1510.0)	(21.0, 2560.0)	(22.0, 1858.0)	(23.0, 2157.0)	(24.0, 5709.0)	(25.0, 7699.0)	(26.0, 7644.0)	(27.0, 3041.0)	(28.0, 14023.0)	(29.0, 18937.0)	(30.0, 24580.0)	(31.0, 12343.0)	(32.0, 30528.0)	(33.0, 77601.0)	(34.0, 169635.0)	(35.0, 268033.0)	(36.0, 0.0)	(37.0, 298218.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_I2_001	(11.0, 1.0)	(12.0, 2.0)	(13.0, 1.0)	(14.0, 0.0)	(15.0, 9.0)	(16.0, 42.0)	(17.0, 93.0)	(18.0, 79.0)	(19.0, 193.0)	(20.0, 510.0)	(21.0, 1023.0)	(22.0, 997.0)	(23.0, 864.0)	(24.0, 3318.0)	(25.0, 5545.0)	(26.0, 7467.0)	(27.0, 1831.0)	(28.0, 14831.0)	(29.0, 24524.0)	(30.0, 38779.0)	(31.0, 24240.0)	(32.0, 47884.0)	(33.0, 125820.0)	(34.0, 217491.0)	(35.0, 227642.0)	(36.0, 0.0)	(37.0, 204831.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_R1_001	(19.0, 2.0)	(20.0, 3.0)	(21.0, 10.0)	(22.0, 35.0)	(23.0, 62.0)	(24.0, 188.0)	(25.0, 472.0)	(26.0, 1138.0)	(27.0, 2491.0)	(28.0, 4397.0)	(29.0, 6936.0)	(30.0, 10225.0)	(31.0, 15705.0)	(32.0, 28271.0)	(33.0, 42999.0)	(34.0, 62126.0)	(35.0, 119985.0)	(36.0, 298550.0)	(37.0, 354422.0)								
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L002_R2_001	(12.0, 3.0)	(13.0, 48.0)	(14.0, 145.0)	(15.0, 218.0)	(16.0, 242.0)	(17.0, 235.0)	(18.0, 248.0)	(19.0, 323.0)	(20.0, 475.0)	(21.0, 755.0)	(22.0, 1135.0)	(23.0, 1662.0)	(24.0, 2228.0)	(25.0, 3008.0)	(26.0, 4082.0)	(27.0, 5686.0)	(28.0, 7461.0)	(29.0, 10228.0)	(30.0, 14275.0)	(31.0, 20195.0)	(32.0, 29844.0)	(33.0, 48122.0)	(34.0, 84111.0)	(35.0, 184977.0)	(36.0, 455806.0)	(37.0, 72505.0)	
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_I1_001	(11.0, 2.0)	(12.0, 12.0)	(13.0, 56.0)	(14.0, 0.0)	(15.0, 123.0)	(16.0, 292.0)	(17.0, 494.0)	(18.0, 241.0)	(19.0, 737.0)	(20.0, 1765.0)	(21.0, 2720.0)	(22.0, 1919.0)	(23.0, 2256.0)	(24.0, 6038.0)	(25.0, 8147.0)	(26.0, 8017.0)	(27.0, 3242.0)	(28.0, 14623.0)	(29.0, 19747.0)	(30.0, 25819.0)	(31.0, 12653.0)	(32.0, 31458.0)	(33.0, 79202.0)	(34.0, 170936.0)	(35.0, 266686.0)	(36.0, 0.0)	(37.0, 290173.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_I2_001	(12.0, 1.0)	(13.0, 5.0)	(14.0, 0.0)	(15.0, 10.0)	(16.0, 40.0)	(17.0, 73.0)	(18.0, 80.0)	(19.0, 173.0)	(20.0, 495.0)	(21.0, 839.0)	(22.0, 917.0)	(23.0, 704.0)	(24.0, 2928.0)	(25.0, 5107.0)	(26.0, 6694.0)	(27.0, 1606.0)	(28.0, 13188.0)	(29.0, 21759.0)	(30.0, 34379.0)	(31.0, 20837.0)	(32.0, 43634.0)	(33.0, 113695.0)	(34.0, 201992.0)	(35.0, 238378.0)	(36.0, 0.0)	(37.0, 239824.0)	
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_R1_001	(21.0, 10.0)	(22.0, 25.0)	(23.0, 72.0)	(24.0, 187.0)	(25.0, 488.0)	(26.0, 1207.0)	(27.0, 2681.0)	(28.0, 4370.0)	(29.0, 7082.0)	(30.0, 10536.0)	(31.0, 16223.0)	(32.0, 29195.0)	(33.0, 44396.0)	(34.0, 63156.0)	(35.0, 123115.0)	(36.0, 300626.0)	(37.0, 343989.0)										
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L003_R2_001	(12.0, 2.0)	(13.0, 44.0)	(14.0, 149.0)	(15.0, 232.0)	(16.0, 256.0)	(17.0, 239.0)	(18.0, 259.0)	(19.0, 317.0)	(20.0, 504.0)	(21.0, 738.0)	(22.0, 1108.0)	(23.0, 1574.0)	(24.0, 2084.0)	(25.0, 2908.0)	(26.0, 3856.0)	(27.0, 5179.0)	(28.0, 7270.0)	(29.0, 9797.0)	(30.0, 13528.0)	(31.0, 19717.0)	(32.0, 29229.0)	(33.0, 46111.0)	(34.0, 83186.0)	(35.0, 187061.0)	(36.0, 459698.0)	(37.0, 72312.0)	
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_I1_001	(11.0, 3.0)	(12.0, 14.0)	(13.0, 58.0)	(14.0, 1.0)	(15.0, 124.0)	(16.0, 253.0)	(17.0, 475.0)	(18.0, 234.0)	(19.0, 699.0)	(20.0, 1679.0)	(21.0, 2624.0)	(22.0, 1930.0)	(23.0, 2201.0)	(24.0, 5816.0)	(25.0, 8116.0)	(26.0, 8135.0)	(27.0, 3192.0)	(28.0, 14673.0)	(29.0, 19675.0)	(30.0, 25727.0)	(31.0, 12844.0)	(32.0, 31827.0)	(33.0, 79076.0)	(34.0, 168883.0)	(35.0, 262983.0)	(36.0, 0.0)	(37.0, 289872.0)
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_I2_001	(12.0, 4.0)	(13.0, 4.0)	(14.0, 0.0)	(15.0, 12.0)	(16.0, 37.0)	(17.0, 88.0)	(18.0, 78.0)	(19.0, 142.0)	(20.0, 448.0)	(21.0, 942.0)	(22.0, 982.0)	(23.0, 816.0)	(24.0, 3199.0)	(25.0, 5176.0)	(26.0, 7024.0)	(27.0, 1709.0)	(28.0, 13898.0)	(29.0, 23342.0)	(30.0, 36488.0)	(31.0, 22947.0)	(32.0, 45660.0)	(33.0, 118282.0)	(34.0, 206364.0)	(35.0, 231042.0)	(36.0, 0.0)	(37.0, 222430.0)	
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_R1_001	(19.0, 1.0)	(20.0, 2.0)	(21.0, 7.0)	(22.0, 26.0)	(23.0, 88.0)	(24.0, 208.0)	(25.0, 432.0)	(26.0, 1232.0)	(27.0, 2615.0)	(28.0, 4606.0)	(29.0, 7182.0)	(30.0, 10657.0)	(31.0, 16333.0)	(32.0, 29328.0)	(33.0, 44756.0)	(34.0, 64716.0)	(35.0, 124114.0)	(36.0, 295488.0)	(37.0, 339323.0)								
SC3_v3_NextGem_DI_CRISPR_A549_5K_gex_S5_L004_R2_001	(12.0, 3.0)	(13.0, 46.0)	(14.0, 148.0)	(15.0, 187.0)	(16.0, 274.0)	(17.0, 249.0)	(18.0, 234.0)	(19.0, 292.0)	(20.0, 439.0)	(21.0, 747.0)	(22.0, 1065.0)	(23.0, 1585.0)	(24.0, 2164.0)	(25.0, 2913.0)	(26.0, 4031.0)	(27.0, 5203.0)	(28.0, 7272.0)	(29.0, 10268.0)	(30.0, 14341.0)	(31.0, 20421.0)	(32.0, 30147.0)	(33.0, 47713.0)	(34.0, 85941.0)	(35.0, 187218.0)	(36.0, 448615.0)	(37.0, 69598.0)	
