Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value,Cluster 9 Mean Counts,Cluster 9 Log2 fold change,Cluster 9 Adjusted p value
ENSG00000139624,CERS5,0.005713607072378321,-1.0815142983392363,0.8980112979624632,0.014472156391594384,0.4749759759582233,1,0.01154119162584457,0.12471285075470817,1,0.018572105459099052,0.9629334158098768,1,0.012851632923404957,0.2735099568876942,1,0.005500035497571546,-0.7551081211238211,1,0.012625221684321524,0.3366043083319239,1,0.029284237208992047,1.6023906148468336,0.5561451398189197,0,6.058548767144091,1
ENSG00000050405,LIMA1,0.0035710044202364507,-0.195171080134803,1,0.0016080173768438205,-1.159419884567435,1,0.005129418500375365,0.5080414903062138,1,0.007428842183639621,1.3190772260351524,1,0.005354847051418732,0.5314911349952025,1,0.001833345165857182,-0.4111537199064603,1,0.00841681445621435,1.3048954486045865,1,0.012550387375282307,1.9716244245125525,0.657900258626319,0,7.412185721758791,1
ENSG00000257298,AC008147.2,0,0.6792980377813365,1,0,0.8994738044861332,1,0,1.7096753514758642,1,0,3.3779709150887207,1,0,1.4059602529113437,1,0.001833345165857182,4.289285998234632,1,0,2.506529309774237,1,0,3.5565869252337095,1,0,11.167073223922259,1
ENSG00000185958,FAM186A,0,0.09433553706018039,1,0.0008040086884219102,1.8994738044861332,1,0,1.1247128507547082,1,0,2.7930084143675646,1,0,0.8209977521901877,1,0,1.7043234975134762,1,0,1.9215668090530809,1,0.0041834624584274355,4.5565869252337095,0.5903306921939515,0,10.582110723201103,1
ENSG00000161813,LARP4,0.019283423869276832,-0.7325155606232201,0.9858496980905215,0.0313563388484545,0.12336981641296951,1,0.02051767400150146,-0.5247899021611584,1,0.02600094764273867,-0.02290852119346365,1,0.037483929359931126,0.4363339019548622,1,0.01833345165857182,-0.6263218144749949,1,0.04629247950917892,0.763304725136349,1,0.07948578671012127,1.5838942712294433,0.49487247619904956,0,4.707641605284962,1
ENSG00000066084,DIP2B,0.019283423869276832,-1.2682345423245271,0.5222961759048934,0.04261246048636124,0.08450569831865451,1,0.03847063875281523,-0.07083795836309914,1,0.0705740007445764,0.8925440879184787,0.9711877444173441,0.037483929359931126,-0.12455446378743584,1,0.05683370014157264,0.5613655436714335,1,0.06102190480755403,0.6719529189816082,1,0.07530232425169384,0.9907332474602573,0.6598394847799022,0,4.242260720316479,1
ENSG00000123268,ATF1,0.011427214144756642,-0.6255565437470834,0.9858496980905215,0.015276165080016295,-0.11844810351112933,1,0.017952964751313773,0.19030119238228416,1,0.033429789826378294,1.192104369777386,0.9485081834852135,0.018206479974823688,0.20084582300673137,1,0.01833345165857182,0.25686452054225484,1,0.01472942529837511,-0.03262950133379494,1,0.029284237208992047,1.0174281141256776,0.8455970224152718,0,5.523217034147535,1
ENSG00000214511,HIGD1C,0,0.6792980377813365,1,0,0.8994738044861332,1,0,1.7096753514758642,1,0,3.3779709150887207,1,0,1.4059602529113437,1,0,2.2892859982346323,1,0,2.506529309774237,1,0.0041834624584274355,5.5565869252337095,0.49487247619904956,0,11.167073223922259,1
ENSG00000110911,SLC11A2,0.009284611492614772,-0.15720322993578328,1,0.008844095572641012,-0.21600341293380332,1,0.008976482375656887,-0.09767957058173948,1,0.02228652655091886,1.3524358229815832,0.9485081834852135,0.01178066351312121,0.2904830354914081,1,0.005500035497571546,-0.6176045973738864,1,0.018937832526482287,1.0735699024981313,1,0.008366924916854871,0.21081208839197885,1,0,6.189793300422344,1
ENSG00000050426,LETMD1,0.004999406188331031,-0.5301553278476119,1,0.007236078195797192,0.0921188824285295,1,0.01025883700075073,0.7096753514758642,1,0.014857684367279241,1.3779709150887198,0.9767966828913274,0.007496785871986225,0.19650688728239452,1,0.007333380663428728,0.2892859982346323,1,0.004208407228107175,-0.3008256122833677,1,0.008366924916854871,0.7492320031761048,1,0,6.707641605284962,1
