Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value,Cluster 9 Mean Counts,Cluster 9 Log2 fold change,Cluster 9 Adjusted p value,Cluster 10 Mean Counts,Cluster 10 Log2 fold change,Cluster 10 Adjusted p value
ENSG00000078043,PIAS2,0.007339377964033147,0.11798025745305107,1,0.005938542940902525,-0.21251104806337828,1,0.005465382281081257,-0.18544236753863785,1,0.02541223558209152,2.133995153792907,0.9083551969040288,0.007835867516976016,0.2719770246855093,1,0.005859974637922977,0.03203417394986996,1,0.008566605848318387,0.5341380737602686,1,0.008760813817739143,0.818058747250805,1,0,-1.5797130744107069,1,0,6.707641605284962,1
ENSG00000167216,KATNAL2,0.0032619457617925098,-0.7069330359888575,1,0.006786906218174314,0.41197981684441487,1,0.0013663455702703142,-1.2729052087889778,1,0.018151596844351085,2.0215204245344935,0.9083551969040288,0.008955277162258303,0.8964678895933025,1,0.003906649758615318,-0.06984544006934357,1,0.004283302924159194,0.07470645512297214,1,0.013141220726608715,1.6254136693084096,0.7852562396036378,0.002676682377186617,-0.20774429702374864,1,0,7.037790206977293,1
ENSG00000266957,AC012254.1,0,-0.39659291537670605,1,0.0008483632772717893,0.996942317565571,1,0,0.49262953757399863,1,0,2.0215204245344935,1,0.002238819290564576,2.4814303903144577,1,0,1.0676580836805911,1,0.002141651462079597,2.5341380737602686,1,0,2.303485574421048,1,0,1.5577904493392278,1,0,9.845145129034897,1
ENSG00000167220,HDHD2,0.005708405083136892,-0.5665179168190191,1,0.005938542940902525,-0.49491077876410383,1,0.01366345570270314,0.8816718283198988,1,0.003630319368870217,-0.328976822549639,1,0.006716457871693728,-0.23477664368495077,1,0.009766624396538295,0.4199598276114731,1,0.01927486315871637,1.4298014139455333,1,0.0043804069088695715,-0.04701167266308559,1,0.013383411885933085,0.9100921932701098,1,0,6.466633505781168,1
ENSG00000134049,IER3IP1,0.030988484737028844,0.19951014294964953,1,0.031389441259056204,0.2225020179807018,1,0.024594220264865654,-0.1566833745572147,1,0.014521277475480867,-0.6833515399218584,1,0.03134347006790406,0.2204703127185237,1,0.03711317270684552,0.5020609078263663,1,0.02569981754495516,-0.04154661337287635,1,0,-2.7582906231656423,0.5962930590561356,0.02676682377186617,0.044529413972260734,1,0,4.783368931448208,1
ENSG00000175387,SMAD2,0.05382210506957641,-0.5784312383625201,1,0.07380760512264567,-0.03146609762018304,1,0.04782209495946099,-0.6985119497780095,1,0.07986702611514478,0.13909002091567002,1,0.09962745843012363,0.493503222615034,1,0.06836637077576806,-0.12348340367141653,1,0.07281614971070628,-0.023079436477982718,1,0.1270318003572176,0.8284006914722641,0.7216176855576527,0.1284807541049576,0.8578037677981505,1,0,3.366173324001955,1
ENSG00000184828,ZBTB7C,0,-0.39659291537670605,1,0.0008483632772717893,0.996942317565571,1,0.0013663455702703142,1.8145576324613621,1,0.003630319368870217,3.343448519421856,0.9435410827070366,0,0.15950229542709593,1,0,1.0676580836805911,1,0,1.2122099788729077,1,0.0043804069088695715,3.6254136693084096,0.6935376494574045,0,1.5577904493392278,1,0,9.845145129034897,1
ENSG00000134030,CTIF,0.00978583728537753,-0.46168794359859167,1,0.005090179663630736,-1.4051561260057746,1,0.009564418991892198,-0.37526692641865544,1,0.029042554950961735,1.3434485194218562,0.9083551969040288,0.024627012196210336,1.1470113512438997,1,0.01757992391376893,0.5617671539506341,1,0.004283302924159194,-1.1663016443808223,1,0.02190203454434786,0.9815574795336843,0.8664557167932939,0.021413459017492937,0.8797185442265905,1,0,5.845145129034898,1
ENSG00000267762,AC048380.1,0,0.3403726787894996,1,0,0.41197981684441487,1,0,1.229595131740206,1,0,2.758486018700699,1,0.001119409645282288,2.4814303903144577,1,0,1.8046236778467968,1,0,1.9491755730391134,1,0.0043804069088695715,4.62541366930841,0.5962930590561356,0,2.2947560435054353,1,0,10.582110723201103,1
ENSG00000267764,AC093567.1,0,-0.882019742546948,1,0,-0.8104126044920346,1,0,0.00720271040375664,1,0,1.5360935973642516,1,0.004477638581129152,3.218395984480664,1,0.003906649758615318,2.652620584401747,1,0,0.7267831517026657,1,0,1.8180587472508059,1,0,1.0723636221689876,1,0,9.359718301864655,1
ENSG00000101665,SMAD7,0.004892918642688765,-0.8522723991528967,1,0.0076352694954461035,-0.1729826838767412,1,0.004099036710810943,-0.8578677095101339,1,0.01089095810661065,0.671023177450361,1,0.014552325388669744,0.9312333077539794,1,0.003906649758615318,-0.7258910388519819,1,0.01284990877247758,0.7565304950967171,1,0.017521627635478286,1.303485574421046,0.7967723511264768,0.01873677664030632,1.3251296925489537,1,0,6.412185721758791,1
ENSG00000141627,DYM,0.008970350844929403,-1.3600670393515921,0.873138026616363,0.029692714704512624,0.6277085078998521,1,0.009564418991892198,-1.1043056048132334,1,0.03267287431983195,0.770558851001276,1,0.02350760255092805,0.19939502255060937,1,0.013673274155153613,-0.5292770587066409,1,0.03212477193119395,0.7139591113450807,1,0.03504325527095657,0.888448075142203,0.8660055018918887,0.03747355328061264,0.9537191256703679,1,0,5.16707322392226,1
ENSG00000265128,AC016866.2,0.0008154864404481274,2.9253351795106557,1,0,0.996942317565571,1,0,1.8145576324613621,1,0,3.3434485194218553,1,0,1.4814303903144577,1,0,2.3895861785679546,1,0,2.5341380737602694,1,0,3.6254136693084096,1,0,2.8797185442265913,1,0,11.167073223922259,1
ENSG00000266696,AC044840.1,0,0.9253351795106557,1,0,0.996942317565571,1,0,1.8145576324613621,1,0,3.3434485194218553,1,0,1.4814303903144577,1,0,2.3895861785679546,1,0.002141651462079597,4.534138073760269,1,0,3.6254136693084096,1,0,2.8797185442265913,1,0,11.167073223922259,1
ENSG00000177576,C18orf32,0.030988484737028844,0.17731439683545336,1,0.028844351427240834,0.04940973745970645,1,0.05055478610000162,1.018091026546493,1,0.01089095810661065,-1.0315909119250684,1,0.019029963969798898,-0.5965721216868145,1,0.029299873189614883,0.1227996378730527,1,0.017133211696636775,-0.6268538029120352,1,0.017521627635478286,-0.4189804500500447,1,0.0321201885262394,0.28553751347605605,1,0,4.766193787640076,1
ENSG00000265681,RPL17,0.7763430913066173,0.40962706886894656,1,0.6142150127447754,-0.029186138666086325,1,0.7064006598297524,0.20565707708345016,1,0.20329788465673215,-1.64583392788958,0.9146398347865755,0.5921677023543304,-0.08894088574246606,1,0.6856170326369883,0.14944534391798225,1,0.5932374549960483,-0.07823988454128739,1,0.13579261417495672,-2.2066851767307254,0.5962930590561356,0.6397270881476015,0.039255310357048545,1,0,0.3227597627189634,1
ENSG00000101670,LIPG,0.0008154864404481274,2.9253351795106557,1,0,0.996942317565571,1,0,1.8145576324613621,1,0,3.3434485194218553,1,0,1.4814303903144577,1,0,2.3895861785679546,1,0,2.5341380737602694,1,0,3.6254136693084096,1,0,2.8797185442265913,1,0,11.167073223922259,1
ENSG00000167315,ACAA2,0.030172998296580714,0.44534223839104214,1,0.03478289436814336,0.7168343983728356,1,0.020495183554054712,-0.18544236753863874,1,0.007260638737740434,-1.2111403322557814,1,0.029104650777339487,0.3659531728945229,1,0.009766624396538295,-1.1339757774890593,1,0.021416514620795968,-0.06171274310362396,1,0.0043804069088695715,-1.5243334501962726,0.9227548489810541,0.013383411885933085,-0.6438434118304217,1,0,5.007201887143871,1
